年份,年齡,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2011.0,未滿30歲,"431,876",3.43,2.97,1.66,1.86,"980,048","691,070","106,859","10,275","22,528","172,270","17,323","100,159","65,075","27,476","32,582","19,079","77,226","40,219","11,827","9,510","3,977","7,268"
2011.0,30～34歲,"638,937",3.59,2.88,1.77,1.9,"1,182,687","777,077","116,461","11,026","25,835","183,443","23,453","111,863","80,197","27,980","38,175","20,432","85,491","52,720","14,251","10,619","3,513","9,792"
2011.0,35～39歲,"843,679",3.81,2.61,1.68,1.77,"1,220,014","801,956","118,665","10,740","26,242","181,956","20,822","115,259","84,077","26,112","41,520","39,732","85,361","51,470","14,466","12,632","5,468","8,954"
2011.0,40～44歲,"1,010,474",3.88,2.43,1.6,1.68,"1,224,868","822,910","120,414","10,804","25,896","187,848","19,451","113,545","87,402","26,415","45,335","57,701","84,286","43,812","15,285","13,135","8,100","8,816"
2011.0,45～54歲,"2,144,656",3.65,2.74,1.72,1.74,"1,222,361","814,290","114,459","11,132","26,208","188,173","18,993","104,343","80,608","28,950","44,672","67,320","89,362","40,070","15,936","10,934","9,017","8,784"
2011.0,55～64歲,"1,587,481",3.02,2.77,1.71,1.83,"1,209,999","733,301","108,416","10,308","23,238","184,772","18,704","107,398","75,435","25,217","40,857","21,244","74,300","43,413","18,139","10,039","4,464","8,215"
2011.0,65歲及以上,"1,302,724",2.03,1.94,0.43,1.18,"615,209","452,311","79,690","4,535","9,545","140,728","11,166","97,943","23,585","9,014","20,352","3,708","26,750","25,296","9,662","6,154","1,617","2,920"
2012.0,未滿30歲,"394,295",3.31,2.94,1.65,1.86,"1,043,891","717,266","113,286","8,508","22,616","176,048","18,531","104,819","68,401","31,804","34,049","17,834","81,741","39,630","11,482","9,682","4,006","8,878"
2012.0,30～34歲,"661,343",3.51,2.82,1.69,1.85,"1,195,107","775,745","116,875","10,525","24,272","184,680","21,872","113,811","82,449","29,709","38,226","17,770","86,660","48,895","15,294","9,934","3,532","9,466"
2012.0,35～39歲,"900,498",3.74,2.6,1.63,1.74,"1,228,151","790,877","121,053","11,143","24,769","184,420","22,137","111,463","78,324","28,169","38,824","34,424","89,043","47,108","13,769","11,808","4,908","8,340"
