年份,性別,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2011.0,男性,"5,834,524",3.49,2.71,1.59,1.73,"1,176,508","766,794","114,602","11,194","23,768","181,258","19,387","110,851","77,723","25,504","40,540","40,531","78,690","42,745","15,373","10,876","6,026","8,265"
2011.0,女性,"2,125,304",2.73,2.25,1.21,1.55,"905,940","625,282","91,800","5,785","19,478","168,259","14,842","94,954","51,038","20,479","32,912","28,032","61,398","36,306","13,047","8,831","4,767","6,266"
2012.0,男性,"5,814,972",3.44,2.69,1.57,1.73,"1,201,085","766,489","117,411","11,082","23,282","180,598","19,317","111,239","75,266","26,886","40,492","37,933","81,950","41,032","16,412","10,398","5,712","7,970"
2012.0,女性,"2,262,351",2.68,2.21,1.19,1.54,"920,081","627,974","94,231","5,364","18,893","168,696","15,210","92,067","54,037","21,626","33,166","25,380","64,279","35,027","13,334","8,863","4,506","6,464"
2013.0,男性,"5,912,874",3.42,2.7,1.57,1.76,"1,214,235","786,731","119,808","10,673","23,582","184,206","19,190","114,651","80,569","28,015","41,374","36,654","84,209","43,800","17,707","10,863","5,608","7,195"
2013.0,女性,"2,278,766",2.66,2.23,1.17,1.57,"948,350","647,221","94,565","5,080","18,957","174,575","16,321","96,892","55,162","22,598","34,784","24,295","65,606","38,386","15,202","9,251","4,226","6,104"
2014.0,男性,"5,974,977",3.36,2.68,1.56,1.76,"1,241,757","798,223","117,290","10,899","24,211","189,066","19,597","116,570","80,224","28,764","42,373","35,556","89,650","44,024","18,702","11,329","5,414","6,928"
2014.0,女性,"2,315,023",2.6,2.21,1.16,1.57,"941,562","644,047","92,861","5,449","19,274","173,435","15,539","101,173","51,296","22,207","34,706","23,351","68,202","36,553","16,254","9,233","4,010","5,209"
2015.0,男性,"5,940,970",3.33,2.67,1.54,1.78,"1,252,464","802,385","118,355","10,854","23,754","191,723","19,926","118,722","76,673","28,475","44,711","34,394","91,741","43,058","21,923","11,205","5,063","6,520"
2015.0,女性,"2,445,525",2.55,2.18,1.14,1.59,"960,354","655,822","94,848","4,904","19,310","176,024","15,395","103,567","52,041","22,594","37,561","21,438","70,610","37,530","19,062","9,676","3,673","5,150"
2016.0,男性,"5,945,613",3.3,2.68,1.55,1.8,"1,280,585","821,340","121,095","10,384","24,357","192,050","20,066","123,488","78,696","29,484","45,196","33,650","98,969","43,907","22,863","11,133","4,836","6,364"
2016.0,女性,"2,512,610",2.53,2.2,1.13,1.61,"991,038","671,440","95,926","4,962","19,392","178,949","15,993","108,692","52,082","22,805","38,240","20,504","75,194","38,701","19,882","9,518","3,620","5,220"
2017.0,男性,"6,064,046",3.29,2.68,1.55,1.81,"1,329,061","861,739","124,481","11,588","24,791","199,147","22,316","129,409","85,321","29,672","50,109","34,148","104,929","45,829","25,928","12,155","4,808","7,217"
2017.0,女性,"2,495,141",2.53,2.19,1.14,1.59,"993,062","689,983","98,493","5,114","19,588","181,511","16,693","110,047","55,972","22,810","40,644","20,443","79,060","39,607","21,866","9,797","3,425","5,556"
2018.0,男性,"6,113,397",3.27,2.7,1.55,1.83,"1,346,722","857,969","124,033","11,716","24,336","199,059","21,221","131,712","83,752","27,446","49,022","32,729","108,145","44,799","25,606","12,264","4,342","6,810"
2018.0,女性,"2,529,743",2.5,2.19,1.1,1.62,"1,012,947","698,721","98,103","5,105","19,031","182,758","17,070","121,190","56,616","21,035","40,652","18,419","80,243","38,498","22,036","10,156","3,006","5,453"
